ID	Name	Host	Group	Collapse
AaV	Aureococcus anophagefferens virus	Stramenopiles	Mimiviridae: Mesomimiviruses	
Acanthamoeba_castellanii_medusavirus	Acanthamoeba castellanii medusavirus	Amoebozoa	Mollivirus-Medusavirus	Medusavirus and Acanthamoeba castellanii copies
# Acanthamoeba_castellanii_medusavirus	Acanthamoeba castellanii medusavirus	Amoebozoa	Mollivirus-Medusavirus	Medusavirus
Acanthamoeba_polyphaga_mimivirus	Acanthamoeba polyphaga mimivirus	Amoebozoa	Mimiviridae: Megavirinae	Mimiviridae s.s.
Acanthamoeba_polyphaga_moumouvirus	Acanthamoeba polyphaga moumouvirus	Amoebozoa	Mimiviridae: Megavirinae	Mimiviridae s.s.
Acanthocystis_turfacea_Chlorella_virus_1	Acanthocystis turfacea Chlorella virus 1	Chlorophyta	Phycodnaviridae: Chlorovirus	Phycodnaviridae: Chlorovirus
African_swine_fever_virus	African swine fever virus	Animals	Asfarviridae	
ALTPLV2	ALTPLV2	Haptophyta		
Barrevirus	Barrevirus	MAG	Mimiviridae: Klosneuvirinae	Mimiviridae s.s.
Bathycoccus_sp._RCC1105_virus_BpV1	Bathycoccus sp. RCC1105 virus BpV1	Chlorophyta	Phycodnaviridae: Prasinovirus	Phycodnaviridae: Prasinovirus
Bathycoccus_sp._RCC1105_virus_BpV2	Bathycoccus sp. RCC1105 virus BpV2	Chlorophyta	Phycodnaviridae: Prasinovirus	Phycodnaviridae: Prasinovirus
Bodo_saltans_virus_NG1	Bodo saltans virus NG1	Euglenozoa	Mimiviridae: Klosneuvirinae	Mimiviridae s.s.
Catovirus_CTV1	Catovirus CTV1	MAG	Mimiviridae: Klosneuvirinae	Mimiviridae s.s.
CeV-01B	Chrysochromulina ericina virus CeV-01B	Haptophyta	Mimiviridae: Mesomimiviruses	
Cherax_quadricarinatus_iridovirus	Cherax quadricarinatus iridovirus	Animals	Irido+Ascoviridae	Marseille-/Irido-/Ascoviridae
Chesapeake430	Chesapeake430	MAG		Chesapeake430, Chesapeake726, Etoliko555
Chesapeake726	Chesapeake726	MAG		Chesapeake430, Chesapeake726, Etoliko555
ChoanoV1	Choanovirus ChoanoV1	MAG	Mimiviridae: Mesomimiviruses
cPacV-1605	cPacV-1605	MAG	Mimiviridae: PPVC	Mimiviridae s.s.
CpV-BQ2	Chrysochromulina parva virus BQ2	Haptophyta	Mimiviridae: Mesomimiviruses	
CroV	Cafeteria roenbergensis virus	Stramenopiles	Mimiviridae: PPVC	Mimiviridae s.s.
Curly	Curly	Haptophyta		
Dasosvirus	Dasosvirus	MAG	Mimiviridae: Klosneuvirinae	Mimiviridae s.s.
Delaware1642	Delaware1642	MAG		
Delaware572	Delaware572	MAG		
Diadromus_pulchellus_ascovirus_4a	Diadromus pulchellus ascovirus 4a	Animals	Irido+Ascoviridae	Marseille-/Irido-/Ascoviridae
Dishui_lake_phycodnavirus_1	Dishui lake phycodnavirus 1	MAG	Phycodnaviridae: Prasinovirus	Phycodnaviridae: Prasinovirus
