short	genome	segment_name	segment_id	scaffold	scaffold_start	scaffold_end	strand	fragment	start_fuzzy	end_fuzy	clade	length	start_repeat_complete	end_repeat_complete
Phaglo_locus_6	Phaglo	locus_6	Phaglo_scaffold_1_591173-596100	Phaglo_scaffold_1	583710	599460	1	fragment			blue	15751		
Phaglo_locus_2	Phaglo	locus_2	Phaglo_scaffold_195_75364-82923	Phaglo_scaffold_195	66837	94302	-1				blue	27466	yes	
Phaglo_locus_11	Phaglo	locus_11	Phaglo_scaffold_26_676127-678503	Phaglo_scaffold_26	664931	685149	1				blue	20219		yes
Phaant_locus_2	Phaant	locus_2	Phaant_scaffold_41_12121-20291	Phaant_scaffold_41	7643	30702	-1				blue	23060	yes	yes
Phaant_locus_10	Phaant	locus_10	Phaant_scaffold_9_2577220-2585235	Phaant_scaffold_9	2570966	2594125	-1				blue	23160	yes	yes
Phaant_locus_7	Phaant	locus_7	Phaant_scaffold_3_3072736-3080757	Phaant_scaffold_3	3066413	3089655	-1				blue	23243	yes	yes
Phaglo_locus_13	Phaglo	locus_13	Phaglo_scaffold_364_22111-23537	Phaglo_scaffold_364	765	24160	-1			1	blue	23396		
Phaant_locus_6	Phaant	locus_6	Phaant_scaffold_25_462386-472810	Phaant_scaffold_25	455200	478827	1				blue	23628	yes	yes
Phaglo_locus_1	Phaglo	locus_1	Phaglo_scaffold_448_69027-80162	Phaglo_scaffold_448	62352	86999	1				blue	24648	yes	yes
Phaglo_locus_7	Phaglo	locus_7	Phaglo_scaffold_242_199732-207686	Phaglo_scaffold_242	192639	216696	-1				blue	24058	yes	yes
Phaglo_locus_4	Phaglo	locus_4	Phaglo_scaffold_321_100892-104706	Phaglo_scaffold_321	93134	117649	1				blue	24516	yes	
Phaglo_locus_16	Phaglo	locus_16	Phaglo_scaffold_199_13864-22902	Phaglo_scaffold_199	6390	31847	-1				blue	25458	yes	yes
Phaglo_locus_15	Phaglo	locus_15	Phaglo_scaffold_117_276273-285063	Phaglo_scaffold_117	268529	293463	-1				blue	24935	yes	yes
Phaglo_locus_12	Phaglo	locus_12	Phaglo_scaffold_74_7845-30317	Phaglo_scaffold_74	1	30709	-1		1	1	blue	30709		
Phaglo_locus_9	Phaglo	locus_9	Phaglo_scaffold_224_212132-213871	Phaglo_scaffold_224	209015	220000	1	fragment	1	1	clade224	10986		
Phaant_locus_3	Phaant	locus_3	Phaant_scaffold_7_1061391-1069190	Phaant_scaffold_7	1048634	1095378	1				Endemic	46745		
Phaant_locus_8	Phaant	locus_8	Phaant_scaffold_26_1242384-1250323	Phaant_scaffold_26	1226099	1278591	1				Endemic	52493		
Phaant_locus_5	Phaant	locus_5	Phaant_scaffold_21_2243220-2250408	Phaant_scaffold_21	2211450	2264998	-1				Endemic	53549		
Phaglo_locus_5	Phaglo	locus_5	Phaglo_scaffold_38_359727-381224	Phaglo_scaffold_38	357691	381393	-1		1		Endemic	23703		
Isogal_locus_2	Isogal	locus_2	Isogal_CM030943.1_157153-161599	Isogal_CM030943.1	156444	165798	1				Isogal	9355		
Isogal_locus_5	Isogal	locus_5	Isogal_CM030934.1_3583018-3586854	Isogal_CM030934.1	3579060	3589834	-1				Isogal	10775		
Isogal_locus_4	Isogal	locus_4	Isogal_CM030932.1_6833132-6838396	Isogal_CM030932.1	6830324	6841632	-1				Isogal	11309		
Phaglo_locus_10	Phaglo	locus_10	Phaglo_scaffold_227_169709-173230	Phaglo_scaffold_227	166125	180048	-1			1	PgVV	13924		
Phaglo_locus_8	Phaglo	locus_8	Phaglo_scaffold_440_55206-67028	Phaglo_scaffold_440	45636	78384	1				PgVV	32749		
Phaglo_locus_14	Phaglo	locus_14	Phaglo_scaffold_45_37290-42148	Phaglo_scaffold_45	36912	48521	-1	no_capsid_proteins	1	1	unknown	11610		
Phaant_locus_1	Phaant	locus_1	Phaant_scaffold_37_407794-414639	Phaant_scaffold_37	397985	416332	-1				yellow	18348		
Phaglo_locus_3	Phaglo	locus_3	Phaglo_scaffold_235_85248-94428	Phaglo_scaffold_235	84686	107351	1				yellow	22666		
Phaant_locus_4	Phaant	locus_4	Phaant_scaffold_21_1684477-1691294	Phaant_scaffold_21	1664742	1693596	-1				yellow	28855		
